session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
797yw66a,21,z3g0geb8,95,Survey,Choice,1685890722,10,0,0
797yw66a,49,w8p97p7s,2,Survey,Introduction,1685890728,1,0,0
797yw66a,50,c2b3ke0q,0,,InitializeParticipant,1685890743,1,0,0
797yw66a,38,90481ka5,118,Survey,Results_failed_comprehension,1685890754,12,0,0
797yw66a,21,z3g0geb8,105,Survey,Choice,1685890756,11,0,0
797yw66a,41,0f4i6zc4,25,Survey,Choice,1685890761,3,0,0
797yw66a,51,enpi0jnt,0,,InitializeParticipant,1685890769,1,0,0
797yw66a,50,c2b3ke0q,1,Survey,Demographics,1685890775,1,0,0
797yw66a,52,ll0fo2s7,0,,InitializeParticipant,1685890776,1,0,0
797yw66a,41,0f4i6zc4,35,Survey,Choice,1685890776,4,0,0
797yw66a,53,om8cmc53,0,,InitializeParticipant,1685890780,1,0,0
797yw66a,54,95jnnj45,0,,InitializeParticipant,1685890786,1,0,0
797yw66a,21,z3g0geb8,115,Survey,Choice,1685890787,12,0,0
797yw66a,41,0f4i6zc4,45,Survey,Choice,1685890789,5,0,0
797yw66a,55,2viwc7fc,0,,InitializeParticipant,1685890789,1,0,0
797yw66a,52,ll0fo2s7,1,Survey,Demographics,1685890792,1,0,0
797yw66a,49,w8p97p7s,3,Survey,ComprehensionCheck_1,1685890792,1,0,0
797yw66a,51,enpi0jnt,1,Survey,Demographics,1685890797,1,0,0
797yw66a,56,8oydecf4,0,,InitializeParticipant,1685890804,1,0,0
797yw66a,57,k3taea3l,0,,InitializeParticipant,1685890806,1,0,0
797yw66a,58,5aw61ljb,0,,InitializeParticipant,1685890810,1,0,0
797yw66a,52,ll0fo2s7,2,Survey,Introduction,1685890820,1,0,0
797yw66a,47,3fyk9zre,3,Survey,ComprehensionCheck_1,1685890822,1,0,0
797yw66a,50,c2b3ke0q,2,Survey,Introduction,1685890822,1,0,0
797yw66a,35,q1sxng6b,3,Survey,ComprehensionCheck_1,1685890825,1,0,0
797yw66a,56,8oydecf4,1,Survey,Demographics,1685890826,1,0,0
797yw66a,59,i3burdt7,0,,InitializeParticipant,1685890827,1,0,0
797yw66a,56,8oydecf4,2,Survey,Introduction,1685890832,1,0,0
797yw66a,41,0f4i6zc4,55,Survey,Choice,1685890833,6,0,0
797yw66a,60,85ctxulq,0,,InitializeParticipant,1685890835,1,0,0
797yw66a,55,2viwc7fc,1,Survey,Demographics,1685890838,1,0,0
797yw66a,51,enpi0jnt,2,Survey,Introduction,1685890843,1,0,0
797yw66a,55,2viwc7fc,2,Survey,Introduction,1685890849,1,0,0
797yw66a,21,z3g0geb8,116,Survey,Results,1685890860,12,0,0
797yw66a,61,qoh16i0h,0,,InitializeParticipant,1685890867,1,0,0
797yw66a,51,enpi0jnt,3,Survey,ComprehensionCheck_1,1685890869,1,0,0
797yw66a,56,8oydecf4,3,Survey,ComprehensionCheck_1,1685890871,1,0,0
797yw66a,53,om8cmc53,1,Survey,Demographics,1685890878,1,0,0
797yw66a,51,enpi0jnt,5,Survey,Choice,1685890884,1,0,0
797yw66a,61,qoh16i0h,1,Survey,Demographics,1685890886,1,0,0
797yw66a,61,qoh16i0h,2,Survey,Introduction,1685890892,1,0,0
797yw66a,35,q1sxng6b,4,Survey,ComprehensionCheck_2,1685890898,1,0,0
797yw66a,56,8oydecf4,5,Survey,Choice,1685890906,1,0,0
797yw66a,41,0f4i6zc4,65,Survey,Choice,1685890907,7,0,0
797yw66a,46,jr6y6dni,3,Survey,ComprehensionCheck_1,1685890909,1,0,0
797yw66a,22,extwjwfo,3,Survey,ComprehensionCheck_1,1685890914,1,0,0
797yw66a,39,45sbdigd,65,Survey,Choice,1685890914,7,0,0
797yw66a,62,gbew81rp,0,,InitializeParticipant,1685890915,1,0,0
797yw66a,47,3fyk9zre,4,Survey,ComprehensionCheck_2,1685890916,1,0,0
797yw66a,51,enpi0jnt,15,Survey,Choice,1685890930,2,0,0
797yw66a,35,q1sxng6b,118,Survey,Results_failed_comprehension,1685890937,12,0,0
